,Tour Leg,Night #,City,Day,Date,Show,Special Guest,Announcement,Mishap?,Notes,Lover Bodysuit,The Man Jacket,Mic1,Lover Guitar,Mic2,Fearless Dress,Guitar,Mic3,Red Shirt,Mic4,Romper,WANEGBT Chant (Kam),ATW Robe,Guitar,Mic5,Speak Now Gown,Koi Fish Guitar,Mic6,Rep Jumpsuit,Mic7,folklore Dress,evermore Dress,Standing Ovation,Cloak,Mic8,Old 1989 Set,New 1989 Top,New 1989 Skirt,L Boot,R Boot,Match?,Mic9,TTPD Dress,Gloves,Choker,Mic10,Smallest Man,Broken Heart Set,Broken Heart Jacket,Mic11,Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Mic12,Surprise Song Dress,Speech?,Mic13,Guitar Surprise Song Album 1,Song 1,Guitar Surprise Song Album 2,Song 2,Guitar Surprise Song Album 3,Song 3,Speech?,Mic14,Piano Surprise Song Album 1,P Song 1,Piano Surprise Song Album 2,P Song 2,Piano Surprise Song Album 3,P Song 3
0,US Leg,1,"Glendale, AZ",Friday,3/17/2023,1,No,No,No Data,Opening Day!,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Red,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Purple,Orange,:15,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Lines,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,folklore,mirrorball,,,,,Yes,Gold,Debut,Tim McGraw,,,,
1,US Leg,2,"Glendale, AZ",Saturday,3/18/2023,2,No,No,No Data,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Red,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:28,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Lines,Magenta,Navy Sparkles,Green,Yes,Maroon,folklore,this is me trying,,,,,Yes,Gold,Red,State of Grace,,,,
2,US Leg,1,"Las Vegas, NV",Friday,3/24/2023,3,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Red,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Pink,Orange,1:43,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Debut,Our Song,,,,,Yes,Gold,Midnights,Snow on the Beach,,,,
3,US Leg,2,"Las Vegas, NV",Saturday,3/25/2023,4,Yes,No,No Data,Special Guest Marcus Mumford to sing cowboy like me,Blue & Gold,Black Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Red,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Purple,Orange,1:12,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Lines,Light Pink,Navy Sparkles,Green,Yes,Maroon,evermore,cowboy like me,,,,,Yes,Gold,Fearless,White Horse,,,,
4,US Leg,1,"Arlington, TX",Friday,3/31/2023,5,No,No,No Data,"""the 1"" added to setlist! (until Nashville N2)",Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Red,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Cream,Orange,:44,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Swirls,Multicolor,Navy Sparkles,Green,Yes,Maroon,Red,Sad Beautiful Tragic,,,,,Yes,Gold,Speak Now,Ours,,,,
5,US Leg,2,"Arlington, TX",Saturday,4/1/2023,6,No,No,Yes,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Purple,Orange,:36,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Lover,Death by a Thousand Cuts,,,,,Yes,Gold,1989,Clean,,,,
6,US Leg,3,"Arlington, TX",Sunday,4/2/2023,7,No,No,No Data,,Blue & Gold,Black Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Pink,Orange,1:14,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Light Pink,Navy Sparkles,Green,Yes,Maroon,Fearless,Jump Then Fall,,,,,Yes,Gold,Red,The Lucky One,,,,
7,US Leg,1,"Tampa, FL ",Thursday,4/13/2023,8,No,No,No Data,"Red Era Intro switch from ""Everything Has Changed"" to ""Holy Ground""",Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Green,Orange,1:30,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Swirls,Multicolor,Navy Sparkles,Yellow,Yes,Maroon,Speak Now,Speak Now,,,,,Yes,Gold,Red,Treacherous,,,,
8,US Leg,2,"Tampa, FL ",Friday,4/14/2023,9,Yes,No,No Data,Special Guest Aaron Dessner to sing The Great War,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,:45,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Lines,Light Pink,Navy Sparkles,Maroon,Yes,Maroon,Midnights,The Great War,,,,,Yes,Gold,Midnights,"You're On Your Own, Kid",,,,
9,US Leg,3,"Tampa, FL ",Saturday,4/15/2023,10,Yes,No,No Data,Special Guest Aaron Dessner to sing mad woman,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Pink,Orange,1:54,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Swirls,Magenta,Navy Sparkles,Green,Yes,Maroon,Speak Now,Mean,,,,,Yes,Gold,folklore,mad woman,,,,
